City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Rocha,UY,2022-02-09 07:54:04,-34.4833,-54.3333,56.77,87,0,2.59
229,Pierre,US,2022-02-09 07:50:37,44.3683,-100.351,43.72,45,20,25.32
230,Klaksvik,FO,2022-02-09 07:54:05,62.2266,-6.589,38.32,66,94,36.82
231,Quelimane,MZ,2022-02-09 07:54:05,-17.8786,36.8883,84.15,79,75,4.61
232,Anaconda,US,2022-02-09 07:54:06,46.1285,-112.9423,23.67,91,91,6.89
233,Kysucke Nove Mesto,SK,2022-02-09 07:54:06,49.3,18.7833,43.7,98,100,1.14
234,Floresta,BR,2022-02-09 07:54:06,-8.6011,-38.5686,73.92,74,0,6.82
235,Huambo,AO,2022-02-09 07:54:07,-12.7761,15.7392,59.9,95,100,6.93
236,Sehithwa,BW,2022-02-09 07:54:07,-20.4667,22.7167,85.73,31,0,9.08
237,Souillac,MU,2022-02-09 07:54:08,-20.5167,57.5167,85.35,65,40,8.05
238,Krivosheino,RU,2022-02-09 07:54:08,57.3431,83.9261,5.02,81,6,8.01
239,Morant Bay,JM,2022-02-09 07:54:08,17.8815,-76.4093,76.62,81,28,2.57
240,Ilulissat,GL,2022-02-09 07:54:09,69.2167,-51.1,-10.57,64,100,14.83
241,Petrivka,UA,2022-02-09 07:54:09,46.9695,30.9591,34.25,96,98,14.12
242,Selenginsk,RU,2022-02-09 07:54:10,52.0064,106.8647,16.21,86,100,7.65
243,Port Elizabeth,ZA,2022-02-09 07:54:10,-33.918,25.5701,78.1,68,20,16.11
244,Kushiro,JP,2022-02-09 07:54:10,42.975,144.3747,27.55,68,75,5.75
245,Abu Dhabi,AE,2022-02-09 07:54:01,24.4667,54.3667,71.71,59,20,6.91
246,Trelew,AR,2022-02-09 07:54:11,-43.249,-65.3051,60.51,71,32,6.96
247,Springbok,ZA,2022-02-09 07:54:11,-29.6643,17.8865,80.62,20,0,5.48
248,Raudeberg,NO,2022-02-09 07:54:12,61.9875,5.1352,38.8,87,100,10.0
249,Flinders,AU,2022-02-09 07:54:12,-34.5833,150.8552,83.48,61,100,8.1
250,Sobolevo,RU,2022-02-09 07:54:13,54.4299,31.8996,32.68,98,100,12.35
251,Upington,ZA,2022-02-09 07:54:13,-28.4478,21.2561,82.78,34,20,6.91
252,Kazuno,JP,2022-02-09 07:54:14,40.1836,140.7872,31.24,88,88,3.83
253,Limoux,FR,2022-02-09 07:54:14,42.9167,2.1667,45.16,61,15,4.43
254,Severo-Yeniseyskiy,RU,2022-02-09 07:54:14,60.3725,93.0408,-0.74,86,28,2.55
255,Porto Novo,BJ,2022-02-09 07:54:15,6.4965,2.6036,80.42,73,96,3.11
256,Ahuimanu,US,2022-02-09 07:54:15,21.4447,-157.8378,73.85,76,75,9.22
257,Eureka,US,2022-02-09 07:54:16,40.8021,-124.1637,43.99,67,7,4.12
258,Lebu,CL,2022-02-09 07:54:16,-37.6167,-73.65,56.7,86,1,15.75
259,Isangel,VU,2022-02-09 07:54:16,-19.55,169.2667,82.51,94,100,11.5
260,Portel,BR,2022-02-09 07:50:16,-1.9356,-50.8211,72.12,97,100,2.93
261,Saint Anthony,US,2022-02-09 07:54:06,45.0205,-93.218,36.3,87,100,11.5
262,Puerto Madryn,AR,2022-02-09 07:54:17,-42.7692,-65.0385,62.92,72,20,9.44
263,Auki,SB,2022-02-09 07:54:18,-8.7676,160.7034,77.32,90,100,6.29
264,Praia,CV,2022-02-09 07:54:18,14.9215,-23.5087,64.94,77,0,6.91
265,Deputatskiy,RU,2022-02-09 07:54:19,69.3,139.9,-34.73,95,73,6.71
266,Ca Mau,VN,2022-02-09 07:54:19,9.1769,105.15,90.41,45,100,15.97
267,Nata,PA,2022-02-09 07:54:19,8.3333,-80.5167,71.67,86,21,4.45
268,Ottawa,CA,2022-02-09 07:52:10,45.4112,-75.6981,21.31,91,0,4.61
269,Lanzhou,CN,2022-02-09 07:54:20,36.0564,103.7922,31.28,57,9,2.84
270,Husavik,IS,2022-02-09 07:54:20,66.0449,-17.3389,28.31,90,100,12.41
271,Benemerito De Las Americas,MX,2022-02-09 07:54:21,16.5167,-90.6439,66.56,92,100,4.03
272,Luganville,VU,2022-02-09 07:54:21,-15.5333,167.1667,78.76,82,100,7.99
273,Cordoba,AR,2022-02-09 07:55:22,-31.4135,-64.1811,64.6,82,0,8.05
274,Zhigansk,RU,2022-02-09 07:55:22,66.7697,123.3711,-35.84,98,99,5.32
275,Khatanga,RU,2022-02-09 07:55:22,71.9667,102.5,1.04,89,100,15.35
276,Cabo San Lucas,MX,2022-02-09 07:54:37,22.8909,-109.9124,67.51,50,3,5.19
277,Elk River,US,2022-02-09 07:55:23,45.3038,-93.5672,36.46,89,99,3.0
278,Grand Gaube,MU,2022-02-09 07:55:24,-20.0064,57.6608,85.37,61,6,8.99
279,Mahibadhoo,MV,2022-02-09 07:55:24,3.7833,72.9667,82.31,68,98,14.74
280,Kormilovka,RU,2022-02-09 07:55:25,55.0026,74.1028,6.55,93,30,9.37
281,Baykit,RU,2022-02-09 07:55:25,61.67,96.37,0.37,89,65,1.97
282,Daru,PG,2022-02-09 07:55:26,-9.0763,143.2092,82.45,80,73,6.6
283,Lavrentiya,RU,2022-02-09 07:55:26,65.5833,-171.0,-22.59,94,29,11.07
284,Omboue,GA,2022-02-09 07:54:12,-1.5746,9.2618,81.46,77,51,5.03
285,Udachnyy,RU,2022-02-09 07:55:27,66.4167,112.4,-8.55,76,100,2.28
286,Taltal,CL,2022-02-09 07:55:27,-25.4,-70.4833,64.31,83,49,2.28
